Name,Year,Country,Countries,Category,Gender,Details
14th Dalai Lama,1989,Tibet,Tibet,Peace,Man, born in Tibet
A. Michael Spence,2001,United States,United States,Economics,Man,
Aage Bohr,1975,Denmark,Denmark,Physics,Man,
Aaron Ciechanover,2004,Israel,Israel,Chemistry,Man,
Aaron Klug,1982,Lithuania,Lithuania,Chemistry,Man,
Aaron Klug,1982,South Africa,"Lithuania, South Africa",Chemistry,Man,
Aaron Klug,1982,United Kingdom,"Lithuania, South Africa, United Kingdom",Chemistry,Man, born in Lithuania
Abdus Salam,1979,Pakistan,Pakistan,Physics,Man," As Pakistani citizen born in then British India,  now Pakistan"
Abhijit Banerjee,2019,India,India,Economics,Man,
Abhijit Banerjee,2019,United States,"India, United States",Economics,Man, born in India
Abiy Ahmed Ali,2019,Ethiopia,Ethiopia,Peace,Man,
Ada Yonath,2009,Israel,Israel,Chemistry,Woman,
Adam G. Riess,2011,United States,United States,Physics,Man,
Adolf Butenandt,1939,Germany,Germany,Chemistry,Man,
Adolf Otto Reinhold Windaus,1928,Germany,Germany,Chemistry,Man,
Adolf von Baeyer,1905,Germany,Germany,Chemistry,Man,
Adolfo Pérez Esquivel,1980,Argentina,Argentina,Peace,Man,
Ahmed H. Zewail,1999,United States,United States,Chemistry,Man, born in Egypt
Ahmed Zewail,1999,Egypt,Egypt,Chemistry,Man,
Akira Suzuki,2010,Japan,Japan,Chemistry,Man,
Akira Yoshino,2019,Japan,Japan,Chemistry,Man,
Al Gore,2007,United States,United States,Peace,Man,
Alan Heeger,2000,United States,United States,Chemistry,Man,
Alan Lloyd Hodgkin,1963,United Kingdom,United Kingdom,Physiology or Medicine,Man,
Alan MacDiarmid,2000,New Zealand,New Zealand,Chemistry,Man,
Alan MacDiarmid,2000,United States,"New Zealand, United States",Chemistry,Man, born in New Zealand
Albert A. Michelson,1907,Poland,Poland,Physics,Man," born in Strelno,  North German Confederation (now in Poland)"
Albert A. Michelson,1907,United States,"Poland, United States",Physics,Man," born in then Germany,  now Poland"
Albert Camus,1957,France,France,Literature,Man, born in French Algeria
Albert Claude,1974,Belgium,Belgium,Physiology or Medicine,Man,
Albert Einstein,1921,Germany,Germany,Physics,Man,
Albert Einstein,1921,Switzerland,"Germany, Switzerland",Physics,Man, born in Germany
Albert Fert,2007,France,France,Physics,Man,
Albert Lutuli,1960,South Africa,South Africa,Peace,Man," born in then Rhodesia,  now Zimbabwe"
Albert Schweitzer,1952,France,France,Peace,Man," born in Alsace,  then in Germany"
Albert Schweitzer,1952,Germany,"France, Germany",Peace,Man,
Albert Szent-Györgyi,1937,Hungary,Hungary,Physiology or Medicine,Man,
Albrecht Kossel,1910,Germany,Germany,Physiology or Medicine,Man,
Aleksandr Solzhenitsyn,1970,Russia and Soviet Union,Russia and Soviet Union,Literature,Man,
Alexander Fleming,1945,United Kingdom,United Kingdom,Physiology or Medicine,Man,
Alexander Prokhorov,1964,Russia and Soviet Union,Russia and Soviet Union,Physics,Man, born in Australia
Alexander R. Todd,1957,United Kingdom,United Kingdom,Chemistry,Man, Baron Todd
Alexei Alexeyevich Abrikosov,2003,Russia and Soviet Union,Russia and Soviet Union,Physics,Man,
Alexei Alexeyevich Abrikosov,2003,United States,"Russia and Soviet Union, United States",Physics,Man, born in Russia
Alexis Carrel,1912,France,France,Physiology or Medicine,Man,
Alfonso García Robles,1982,Mexico,Mexico,Peace,Man,
Alfred G. Gilman,1994,United States,United States,Physiology or Medicine,Man,
Alfred Hermann Fried,1911,Austria,Austria,Peace,Man,
Alfred Hershey,1969,United States,United States,Physiology or Medicine,Man,
Alfred Kastler,1966,France,France,Physics,Man,
Alfred Werner,1913,France,France,Chemistry,Man,
Alfred Werner,1913,Switzerland,"France, Switzerland",Chemistry,Man,
Alice Munro,2013,Canada,Canada,Literature,Woman,
Allan M. Cormack,1979,South Africa,South Africa,Physiology or Medicine,Man,
Allan M. Cormack,1979,United States,"South Africa, United States",Physiology or Medicine,Man, born in South Africa
Allvar Gullstrand,1911,Sweden,Sweden,Physiology or Medicine,Man,
Alva Myrdal,1982,Sweden,Sweden,Peace,Woman,
Alvin E. Roth,2012,United States,United States,Economics,Man,
Amartya Sen,1998,India,India,Economics,Man,
American Friends Service Committee (The Quakers),1947,United States,United States,Peace,Organization,
Amnesty International,1977,United Kingdom,United Kingdom,Peace,Organization,
Anatole France,1921,France,France,Literature,Man,
André F. Cournand,1956,United States,United States,Physiology or Medicine,Man, France
André Frédéric Cournand,1956,France,France,Physiology or Medicine,Man,
Andre Geim,2010,Netherlands,Netherlands,Physics,Man," born in Soviet Union,  now Russia"
Andre Geim,2010,Russia and Soviet Union,"Netherlands, Russia and Soviet Union",Physics,Man,
André Gide,1947,France,France,Literature,Man,
André Lwoff,1965,France,France,Physiology or Medicine,Man,
Andrei Sakharov,1975,Russia and Soviet Union,Russia and Soviet Union,Peace,Man,
Andrew Huxley,1963,United Kingdom,United Kingdom,Physiology or Medicine,Man,
Andrew Schally,1977,Poland,Poland,Physiology or Medicine,Man," born in Wilno,  Poland (now Vilnius,  Lithuania)"
Andrew Schally,1977,United States,"Poland, United States",Physiology or Medicine,Man," born in then Poland,  now Lithuania"
Andrew Z. Fire,2006,United States,United States,Physiology or Medicine,Man,
Angus Deaton,2015,United Kingdom,United Kingdom,Economics,Man,
Angus Deaton,2015,United States,"United Kingdom, United States",Economics,Man, born in United Kingdom
Anthony J. Leggett,2003,United Kingdom,United Kingdom,Physics,Man,
Anthony J. Leggett,2003,United States,"United Kingdom, United States",Physics,Man, born in United Kingdom
Antoine Henri Becquerel,1903,France,France,Physics,Man,
António Egas Moniz,1949,Portugal,Portugal,Physiology or Medicine,Man,
Antony Hewish,1974,United Kingdom,United Kingdom,Physics,Man,
Anwar Sadat,1978,Egypt,Egypt,Peace,Man,
Archer John Porter Martin,1952,United Kingdom,United Kingdom,Chemistry,Man,
