name,year,country,countries,category,gender,details,continent,country_code,decade
A. Michael Spence,2001,United States,United States,Economics,Man,NA,Americas,USA,2000
Aage Bohr,1975,Denmark,Denmark,Physics,Man,NA,Europe,DNK,1970
Aaron Ciechanover,2004,Israel,Israel,Chemistry,Man,NA,Asia,ISR,2000
Aaron Klug,1982,Lithuania,Lithuania,Chemistry,Man,NA,Europe,LTU,1980
Aaron Klug,1982,South Africa,"Lithuania, South Africa",Chemistry,Man,NA,Africa,ZAF,1980
Aaron Klug,1982,United Kingdom,"Lithuania, South Africa, United Kingdom",Chemistry,Man, born in Lithuania,Europe,GBR,1980
Abdus Salam,1979,Pakistan,Pakistan,Physics,Man," As Pakistani citizen born in then British India,  now Pakistan",Asia,PAK,1970
Abhijit Banerjee,2019,India,India,Economics,Man,NA,Asia,IND,2010
Abhijit Banerjee,2019,United States,"India, United States",Economics,Man, born in India,Americas,USA,2010
Abiy Ahmed Ali,2019,Ethiopia,Ethiopia,Peace,Man,NA,Africa,ETH,2010
Ada Yonath,2009,Israel,Israel,Chemistry,Woman,NA,Asia,ISR,2000
Adam G. Riess,2011,United States,United States,Physics,Man,NA,Americas,USA,2010
Adolf Butenandt,1939,Germany,Germany,Chemistry,Man,NA,Europe,DEU,1930
Adolf Otto Reinhold Windaus,1928,Germany,Germany,Chemistry,Man,NA,Europe,DEU,1920
Adolf von Baeyer,1905,Germany,Germany,Chemistry,Man,NA,Europe,DEU,1900
Adolfo Pérez Esquivel,1980,Argentina,Argentina,Peace,Man,NA,Americas,ARG,1980
Ahmed H. Zewail,1999,United States,United States,Chemistry,Man, born in Egypt,Americas,USA,1990
Ahmed Zewail,1999,Egypt,Egypt,Chemistry,Man,NA,Africa,EGY,1990
Akira Suzuki,2010,Japan,Japan,Chemistry,Man,NA,Asia,JPN,2010
Akira Yoshino,2019,Japan,Japan,Chemistry,Man,NA,Asia,JPN,2010
Al Gore,2007,United States,United States,Peace,Man,NA,Americas,USA,2000
Alan Heeger,2000,United States,United States,Chemistry,Man,NA,Americas,USA,2000
Alan Lloyd Hodgkin,1963,United Kingdom,United Kingdom,Physiology or Medicine,Man,NA,Europe,GBR,1960
Alan MacDiarmid,2000,New Zealand,New Zealand,Chemistry,Man,NA,Oceania,NZL,2000
Alan MacDiarmid,2000,United States,"New Zealand, United States",Chemistry,Man, born in New Zealand,Americas,USA,2000
Albert A. Michelson,1907,Poland,Poland,Physics,Man," born in Strelno,  North German Confederation (now in Poland)",Europe,POL,1900
Albert A. Michelson,1907,United States,"Poland, United States",Physics,Man," born in then Germany,  now Poland",Americas,USA,1900
Albert Camus,1957,France,France,Literature,Man, born in French Algeria,Europe,FRA,1950
Albert Claude,1974,Belgium,Belgium,Physiology or Medicine,Man,NA,Europe,BEL,1970
Albert Einstein,1921,Germany,Germany,Physics,Man,NA,Europe,DEU,1920
Albert Einstein,1921,Switzerland,"Germany, Switzerland",Physics,Man, born in Germany,Europe,CHE,1920
Albert Fert,2007,France,France,Physics,Man,NA,Europe,FRA,2000
Albert Lutuli,1960,South Africa,South Africa,Peace,Man," born in then Rhodesia,  now Zimbabwe",Africa,ZAF,1960
Albert Schweitzer,1952,France,France,Peace,Man," born in Alsace,  then in Germany",Europe,FRA,1950
Albert Schweitzer,1952,Germany,"France, Germany",Peace,Man,NA,Europe,DEU,1950
Albert Szent-Györgyi,1937,Hungary,Hungary,Physiology or Medicine,Man,NA,Europe,HUN,1930
Albrecht Kossel,1910,Germany,Germany,Physiology or Medicine,Man,NA,Europe,DEU,1910
Aleksandr Solzhenitsyn,1970,Russia and Soviet Union,Russia and Soviet Union,Literature,Man,NA,Europe,RUS,1970
Alexander Fleming,1945,United Kingdom,United Kingdom,Physiology or Medicine,Man,NA,Europe,GBR,1940
Alexander Prokhorov,1964,Russia and Soviet Union,Russia and Soviet Union,Physics,Man, born in Australia,Europe,RUS,1960
Alexander R. Todd,1957,United Kingdom,United Kingdom,Chemistry,Man,Baron Todd,Europe,GBR,1950
Alexei Alexeyevich Abrikosov,2003,Russia and Soviet Union,Russia and Soviet Union,Physics,Man,NA,Europe,RUS,2000
Alexei Alexeyevich Abrikosov,2003,United States,"Russia and Soviet Union, United States",Physics,Man, born in Russia,Americas,USA,2000
Alexis Carrel,1912,France,France,Physiology or Medicine,Man,NA,Europe,FRA,1910
Alfonso García Robles,1982,Mexico,Mexico,Peace,Man,NA,Americas,MEX,1980
Alfred G. Gilman,1994,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,1990
Alfred Hermann Fried,1911,Austria,Austria,Peace,Man,NA,Europe,AUT,1910
Alfred Hershey,1969,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,1960
Alfred Kastler,1966,France,France,Physics,Man,NA,Europe,FRA,1960
Alfred Werner,1913,France,France,Chemistry,Man,NA,Europe,FRA,1910
Alfred Werner,1913,Switzerland,"France, Switzerland",Chemistry,Man,NA,Europe,CHE,1910
Alice Munro,2013,Canada,Canada,Literature,Woman,NA,Americas,CAN,2010
Allan M. Cormack,1979,South Africa,South Africa,Physiology or Medicine,Man,NA,Africa,ZAF,1970
Allan M. Cormack,1979,United States,"South Africa, United States",Physiology or Medicine,Man, born in South Africa,Americas,USA,1970
Allvar Gullstrand,1911,Sweden,Sweden,Physiology or Medicine,Man,NA,Europe,SWE,1910
Alva Myrdal,1982,Sweden,Sweden,Peace,Woman,NA,Europe,SWE,1980
Alvin E. Roth,2012,United States,United States,Economics,Man,NA,Americas,USA,2010
Amartya Sen,1998,India,India,Economics,Man,NA,Asia,IND,1990
American Friends Service Committee (The Quakers),1947,United States,United States,Peace,Organization,NA,Americas,USA,1940
Amnesty International,1977,United Kingdom,United Kingdom,Peace,Organization,NA,Europe,GBR,1970
Anatole France,1921,France,France,Literature,Man,NA,Europe,FRA,1920
André F. Cournand,1956,United States,United States,Physiology or Medicine,Man, France,Americas,USA,1950
André Frédéric Cournand,1956,France,France,Physiology or Medicine,Man,NA,Europe,FRA,1950
Andre Geim,2010,Netherlands,Netherlands,Physics,Man," born in Soviet Union,  now Russia",Europe,NLD,2010
Andre Geim,2010,Russia and Soviet Union,"Netherlands, Russia and Soviet Union",Physics,Man,NA,Europe,RUS,2010
André Gide,1947,France,France,Literature,Man,NA,Europe,FRA,1940
André Lwoff,1965,France,France,Physiology or Medicine,Man,NA,Europe,FRA,1960
Andrei Sakharov,1975,Russia and Soviet Union,Russia and Soviet Union,Peace,Man,NA,Europe,RUS,1970
Andrew Huxley,1963,United Kingdom,United Kingdom,Physiology or Medicine,Man,NA,Europe,GBR,1960
Andrew Schally,1977,Poland,Poland,Physiology or Medicine,Man," born in Wilno,  Poland (now Vilnius,  Lithuania)",Europe,POL,1970
Andrew Schally,1977,United States,"Poland, United States",Physiology or Medicine,Man," born in then Poland,  now Lithuania",Americas,USA,1970
Andrew Z. Fire,2006,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,2000
Angus Deaton,2015,United Kingdom,United Kingdom,Economics,Man,NA,Europe,GBR,2010
Angus Deaton,2015,United States,"United Kingdom, United States",Economics,Man, born in United Kingdom,Americas,USA,2010
Anthony J. Leggett,2003,United Kingdom,United Kingdom,Physics,Man,NA,Europe,GBR,2000
Anthony J. Leggett,2003,United States,"United Kingdom, United States",Physics,Man, born in United Kingdom,Americas,USA,2000
Antoine Henri Becquerel,1903,France,France,Physics,Man,NA,Europe,FRA,1900
António Egas Moniz,1949,Portugal,Portugal,Physiology or Medicine,Man,NA,Europe,PRT,1940
Antony Hewish,1974,United Kingdom,United Kingdom,Physics,Man,NA,Europe,GBR,1970
Anwar Sadat,1978,Egypt,Egypt,Peace,Man,NA,Africa,EGY,1970
Archer John Porter Martin,1952,United Kingdom,United Kingdom,Chemistry,Man,NA,Europe,GBR,1950
Archibald Vivian Hill,1922,United Kingdom,United Kingdom,Physiology or Medicine,Man,NA,Europe,GBR,1920
Arieh Warshel,2013,Israel,Israel,Chemistry,Man,NA,Asia,ISR,2010
Arieh Warshel,2013,United States,"Israel, United States",Chemistry,Man, born in Israel,Americas,USA,2010
Aristide Briand,1926,France,France,Peace,Man,NA,Europe,FRA,1920
Arne Tiselius,1948,Sweden,Sweden,Chemistry,Man,NA,Europe,SWE,1940
Arno Penzias,1978,Germany,Germany,Physics,Man,NA,Europe,DEU,1970
Arno Penzias,1978,United States,"Germany, United States",Physics,Man, born in Germany,Americas,USA,1970
Arthur Ashkin,2018,United States,United States,Physics,Man,NA,Americas,USA,2010
Arthur B. McDonald,2015,Canada,Canada,Physics,Man,NA,Americas,CAN,2010
Arthur H. Compton,1927,United States,United States,Physics,Man,NA,Americas,USA,1920
Arthur Harden,1929,United Kingdom,United Kingdom,Chemistry,Man,NA,Europe,GBR,1920
Arthur Henderson,1934,United Kingdom,United Kingdom,Peace,Man,NA,Europe,GBR,1930
Arthur Kornberg,1959,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,1950
Arthur L. Schawlow,1981,United States,United States,Physics,Man,NA,Americas,USA,1980
Artturi Ilmari Virtanen,1945,Finland,Finland,Chemistry,Man," born in the Grand Duchy of Finland,  a part of the Russian Empire in 1809–1917",Europe,FIN,1940
Arvid Carlsson,2000,Sweden,Sweden,Physiology or Medicine,Man,NA,Europe,SWE,2000
August Krogh,1920,Denmark,Denmark,Physiology or Medicine,Man,NA,Europe,DNK,1920
Auguste Beernaert,1909,Belgium,Belgium,Peace,Man,NA,Europe,BEL,1900
Aung San Suu Kyi,1991,Myanmar (Burma),Myanmar (Burma),Peace,Woman,NA,Asia,MMR,1990
Austen Chamberlain,1925,United Kingdom,United Kingdom,Peace,Man,NA,Europe,GBR,1920
Avram Hershko,2004,Hungary,Hungary,Chemistry,Man, as an Israeli citizen,Europe,HUN,2000
Avram Hershko,2004,Israel,"Hungary, Israel",Chemistry,Man, born in Hungary,Asia,ISR,2000
Aziz Sancar,2015,Turkey,Turkey,Chemistry,Man,NA,Asia,TUR,2010
Aziz Sancar,2015,United States,"Turkey, United States",Chemistry,Man, born in Turkey,Americas,USA,2010
Barack H. Obama,2009,United States,United States,Peace,Man,NA,Americas,USA,2000
Barbara McClintock,1983,United States,United States,Physiology or Medicine,Woman,NA,Americas,USA,1980
Barry Barish,2017,United States,United States,Physics,Man,NA,Americas,USA,2010
Barry Marshall,2005,Australia,Australia,Physiology or Medicine,Man,NA,Oceania,AUS,2000
Baruch S. Blumberg,1976,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,1970
Baruj Benacerraf,1980,United States,United States,Physiology or Medicine,Man, born in Venezuela,Americas,USA,1980
Baruj Benacerraf,1980,Venezuela,"United States, Venezuela",Physiology or Medicine,Man,NA,Americas,VEN,1980
Ben Feringa,2016,Netherlands,Netherlands,Chemistry,Man,NA,Europe,NLD,2010
Ben Roy Mottelson,1975,Denmark,Denmark,Physics,Man, born in United States,Europe,DNK,1970
Ben Roy Mottelson,1975,United States,"Denmark, United States",Physics,Man,NA,Americas,USA,1970
Bengt I. Samuelsson,1982,Sweden,Sweden,Physiology or Medicine,Man,NA,Europe,SWE,1980
Bengt R. Holmström,2016,Finland,Finland,Economics,Man,NA,Europe,FIN,2010
Bernard Katz,1970,Germany,Germany,Physiology or Medicine,Man,NA,Europe,DEU,1970
Bernard Katz,1970,United Kingdom,"Germany, United Kingdom",Physiology or Medicine,Man, born in Germany,Europe,GBR,1970
Bernardo Houssay,1947,Argentina,Argentina,Physiology or Medicine,Man,NA,Americas,ARG,1940
Bert Sakmann,1991,Germany,Germany,Physiology or Medicine,Man,NA,Europe,DEU,1990
Bertha von Suttner,1905,Czech Republic,Czech Republic,Peace,Woman,"Born in the Austrian Empire, now Czech Republic",Europe,CZE,1900
Bertil Ohlin,1977,Sweden,Sweden,Economics,Man,NA,Europe,SWE,1970
Bertram Brockhouse,1994,Canada,Canada,Physics,Man,NA,Americas,CAN,1990
Bertrand Russell,1950,United Kingdom,United Kingdom,Literature,Man,NA,Europe,GBR,1950
Betty Williams,1976,Ireland,Ireland,Peace,Woman,"Born in North Ireland, part of the UK",Europe,IRL,1970
Betty Williams,1976,United Kingdom,"Ireland, United Kingdom",Peace,Woman,"Born in North Ireland, part of the UK",Europe,GBR,1970
Bjørnstjerne Bjørnson,1903,Norway,Norway,Literature,Man,NA,Europe,NOR,1900
Bob Dylan,2016,United States,United States,Literature,Man,NA,Americas,USA,2010
Boris Pasternak,1958,Russia and Soviet Union,Russia and Soviet Union,Literature,Man,(forced to decline),Europe,RUS,1950
Brian David Josephson,1973,United Kingdom,United Kingdom,Physics,Man,NA,Europe,GBR,1970
Brian K. Kobilka,2012,United States,United States,Chemistry,Man,NA,Americas,USA,2010
Brian P. Schmidt,2011,United States,United States,Physics,Man,NA,Americas,USA,2010
Brian Schmidt,2011,Australia,Australia,Physics,Man, born in the United States,Oceania,AUS,2010
Bruce Beutler,2011,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,2010
Bruce Merrifield,1984,United States,United States,Chemistry,Man,NA,Americas,USA,1980
Burton Richter,1976,United States,United States,Physics,Man,NA,Americas,USA,1970
C. V. Raman,1930,India,India,Physics,Man,NA,Asia,IND,1930
Camillo Golgi,1906,Italy,Italy,Physiology or Medicine,Man,NA,Europe,ITA,1900
Camilo José Cela,1989,Spain,Spain,Literature,Man,NA,Europe,ESP,1980
Carl Anderson,1936,United States,United States,Physics,Man,NA,Americas,USA,1930
Carl Bosch,1931,Germany,Germany,Chemistry,Man,NA,Europe,DEU,1930
Carl E. Wieman,2001,United States,United States,Physics,Man,NA,Americas,USA,2000
Carl Ferdinand Cori,1947,Czech Republic,Czech Republic,Physiology or Medicine,Man," born in Prague,  Austria-Hungary,  now Czech Republic",Europe,CZE,1940
Carl Ferdinand Cori,1947,United States,"Czech Republic, United States",Physiology or Medicine,Man, born in Austria,Americas,USA,1940
Carl Gustaf Verner von Heidenstam,1916,Sweden,Sweden,Literature,Man,NA,Europe,SWE,1910
Carl Spitteler,1919,Switzerland,Switzerland,Literature,Man,NA,Europe,CHE,1910
Carl von Ossietzky,1935,Germany,Germany,Peace,Man,NA,Europe,DEU,1930
Carlo Rubbia,1984,Italy,Italy,Physics,Man,NA,Europe,ITA,1980
Carlos Filipe Ximenes Belo,1996,East Timor,East Timor,Peace,Man,NA,Asia,TLS,1990
Carlos Filipe Ximenes Belo,1996,Portugal,"East Timor, Portugal",Peace,Man," born in then Portuguese Timor,  now East Timor",Europe,PRT,1990
Carlos Saavedra Lamas,1936,Argentina,Argentina,Peace,Man,NA,Americas,ARG,1930
Carol W. Greider,2009,United States,United States,Physiology or Medicine,Woman,NA,Americas,USA,2000
Cecil Frank Powell,1950,United Kingdom,United Kingdom,Physics,Man,NA,Europe,GBR,1950
César Milstein,1984,Argentina,Argentina,Physiology or Medicine,Man,NA,Americas,ARG,1980
César Milstein,1984,United Kingdom,"Argentina, United Kingdom",Physiology or Medicine,Man, born in Argentina,Europe,GBR,1980
Charles Albert Gobat,1902,Switzerland,Switzerland,Peace,Man,NA,Europe,CHE,1900
Charles B. Huggins,1966,Canada,Canada,Physiology or Medicine,Man,NA,Americas,CAN,1960
Charles B. Huggins,1966,United States,"Canada, United States",Physiology or Medicine,Man, born in Canada,Americas,USA,1960
Charles Édouard Guillaume,1920,Switzerland,Switzerland,Physics,Man,NA,Europe,CHE,1920
Charles G. Dawes,1925,United States,United States,Peace,Man,NA,Americas,USA,1920
Charles Glover Barkla,1917,United Kingdom,United Kingdom,Physics,Man,NA,Europe,GBR,1910
Charles H. Townes,1964,United States,United States,Physics,Man,NA,Americas,USA,1960
Charles J. Pedersen,1987,United States,United States,Chemistry,Man, born in Korea,Americas,USA,1980
Charles K. Kao,2009,"China, Republic of","China, Republic of",Physics,Man,NA,Asia,TWN,2000
Charles K. Kao,2009,Hong Kong,"China, Republic of, Hong Kong",Physics,Man,NA,Asia,HKG,2000
Charles K. Kao,2009,United Kingdom,"China, Republic of, Hong Kong, United Kingdom",Physics,Man,NA,Europe,GBR,2000
Charles K. Kao,2009,United States,"China, Republic of, Hong Kong, United Kingdom, United States",Physics,Man, born in China,Americas,USA,2000
Charles Louis Alphonse Laveran,1907,France,France,Physiology or Medicine,Man,NA,Europe,FRA,1900
Charles Nicolle,1928,France,France,Physiology or Medicine,Man,NA,Europe,FRA,1920
Charles Richet,1913,France,France,Physiology or Medicine,Man,NA,Europe,FRA,1910
Charles Scott Sherrington,1932,United Kingdom,United Kingdom,Physiology or Medicine,Man,NA,Europe,GBR,1930
Charles Thomson Rees Wilson,1927,United Kingdom,United Kingdom,Physics,Man,NA,Europe,GBR,1920
Chen Ning Yang,1957,United States,United States,Physics,Man, born in China,Americas,USA,1950
Chen-Ning Yang,1957,"China, Republic of","China, Republic of",Physics,Man,NA,Asia,TWN,1950
Christiaan Eijkman,1929,Netherlands,Netherlands,Physiology or Medicine,Man,NA,Europe,NLD,1920
Christian Anfinsen,1972,United States,United States,Chemistry,Man,NA,Americas,USA,1970
Christian de Duve,1974,Belgium,Belgium,Physiology or Medicine,Man, born in the United Kingdom,Europe,BEL,1970
Christian de Duve,1974,United Kingdom,"Belgium, United Kingdom",Physiology or Medicine,Man,NA,Europe,GBR,1970
Christian Lous Lange,1921,Norway,Norway,Peace,Man,NA,Europe,NOR,1920
Christiane Nüsslein-Volhard,1995,Germany,Germany,Physiology or Medicine,Woman,NA,Europe,DEU,1990
Christopher A. Pissarides,2010,Cyprus,Cyprus,Economics,Man,NA,Asia,CYP,2010
Christopher A. Pissarides,2010,United Kingdom,"Cyprus, United Kingdom",Economics,Man, born in Cyprus,Europe,GBR,2010
Christopher A. Sims,2011,United States,United States,Economics,Man,NA,Americas,USA,2010
Claude Cohen-Tannoudji,1997,France,France,Physics,Man, born in French Algeria,Europe,FRA,1990
Claude Simon,1985,France,France,Literature,Man,NA,Europe,FRA,1980
Clifford G. Shull,1994,United States,United States,Physics,Man,NA,Americas,USA,1990
Clinton Davisson,1937,United States,United States,Physics,Man,NA,Americas,USA,1930
Clive W. J. Granger,2003,United Kingdom,United Kingdom,Economics,Man,NA,Europe,GBR,2000
Cordell Hull,1945,United States,United States,Peace,Man,NA,Americas,USA,1940
Corneille Heymans,1938,Belgium,Belgium,Physiology or Medicine,Man,NA,Europe,BEL,1930
Craig C. Mello,2006,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,2000
Cyril Norman Hinshelwood,1956,United Kingdom,United Kingdom,Chemistry,Man,NA,Europe,GBR,1950
Czesław Miłosz,1980,Lithuania,Lithuania,Literature,Man,NA,Europe,LTU,1980
Czesław Miłosz,1980,Poland,"Lithuania, Poland",Literature,Man," born in Russian Empire,  now Lithuania",Europe,POL,1980
Czesław Miłosz,1980,United States,"Lithuania, Poland, United States",Literature,Man," born in then Russian Empire,  now Lithuania",Americas,USA,1980
Dag Hammarskjöld,1961,Sweden,Sweden,Peace,Man,(posthumously),Europe,SWE,1960
Dale T. Mortensen,2010,United States,United States,Economics,Man,NA,Americas,USA,2010
Dan Shechtman,2011,Israel,Israel,Chemistry,Man,NA,Asia,ISR,2010
Daniel Bovet,1957,Italy,Italy,Physiology or Medicine,Man, born in Switzerland,Europe,ITA,1950
Daniel Bovet,1957,Switzerland,"Italy, Switzerland",Physiology or Medicine,Man,NA,Europe,CHE,1950
Daniel C. Tsui,1998,"China, People's Republic of","China, People's Republic of",Physics,Man,NA,Asia,CHN,1990
Daniel C. Tsui,1998,United States,"China, People's Republic of, United States",Physics,Man, born in China,Americas,USA,1990
Daniel Carleton Gajdusek,1976,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,1970
Daniel Kahneman,2002,Israel,Israel,Economics,Man,NA,Asia,ISR,2000
Daniel Kahneman,2002,United States,"Israel, United States",Economics,Man, born in Israel,Americas,USA,2000
Daniel L. McFadden,2000,United States,United States,Economics,Man,NA,Americas,USA,2000
Daniel Nathans,1978,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,1970
Dario Fo,1997,Italy,Italy,Literature,Man,NA,Europe,ITA,1990
David Baltimore,1975,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,1970
David H. Hubel,1981,Canada,Canada,Physiology or Medicine,Man,NA,Americas,CAN,1980
David H. Hubel,1981,United States,"Canada, United States",Physiology or Medicine,Man, born in Canada,Americas,USA,1980
David J. Gross,2004,United States,United States,Physics,Man,NA,Americas,USA,2000
David J. Thouless,2016,United Kingdom,United Kingdom,Physics,Man,NA,Europe,GBR,2010
David J. Wineland,2012,United States,United States,Physics,Man,NA,Americas,USA,2010
David M. Lee,1996,United States,United States,Physics,Man,NA,Americas,USA,1990
David Trimble,1998,Ireland,Ireland,Peace,Man,NA,Europe,IRL,1990
David Trimble,1998,United Kingdom,"Ireland, United Kingdom",Peace,Man,NA,Europe,GBR,1990
Denis Mukwege,2018,"Congo, Democratic Republic","Congo, Democratic Republic",Peace,Man,NA,Africa,COD,2010
Dennis Gabor,1971,Hungary,Hungary,Physics,Man,NA,Europe,HUN,1970
Dennis Gabor,1971,United Kingdom,"Hungary, United Kingdom",Physics,Man, born in Hungary,Europe,GBR,1970
Derek Harold Richard Barton,1969,United Kingdom,United Kingdom,Chemistry,Man,NA,Europe,GBR,1960
Derek Walcott,1992,Saint Lucia,Saint Lucia,Literature,Man,NA,Americas,LCA,1990
Desmond Tutu,1984,South Africa,South Africa,Peace,Man,NA,Africa,ZAF,1980
Dickinson W. Richards,1956,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,1950
Didier Queloz,2019,Switzerland,Switzerland,Physics,Man,NA,Europe,CHE,2010
Dominique Pire,1958,Belgium,Belgium,Peace,Man,NA,Europe,BEL,1950
Donald A. Glaser,1960,United States,United States,Physics,Man,NA,Americas,USA,1960
Donald J. Cram,1987,United States,United States,Chemistry,Man,NA,Americas,USA,1980
Donna Strickland,2018,Canada,Canada,Physics,Woman,NA,Americas,CAN,2010
Doris Lessing,2007,Iran,Iran,Literature,Woman,"Born in Iran, worked in the UK",Asia,IRN,2000
Doris Lessing,2007,United Kingdom,"Iran, United Kingdom",Literature,Woman,"Born in Iran, worked in the UK",Europe,GBR,2000
Dorothy Hodgkin,1964,United Kingdom,United Kingdom,Chemistry,Woman,NA,Europe,GBR,1960
Douglas D. Osheroff,1996,United States,United States,Physics,Man,NA,Americas,USA,1990
Douglass C. North,1993,United States,United States,Economics,Man,NA,Americas,USA,1990
Dudley R. Herschbach,1986,United States,United States,Chemistry,Man,NA,Americas,USA,1980
E. Donnall Thomas,1990,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,1990
E. M. Purcell,1952,United States,United States,Physics,Man,NA,Americas,USA,1950
Earl W. Sutherland Jr.,1971,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,1970
Edgar Adrian,1932,United Kingdom,United Kingdom,Physiology or Medicine,Man,1st Baron Adrian,Europe,GBR,1930
Edmond H. Fischer,1992,United States,United States,Physiology or Medicine,Man, born in China,Americas,USA,1990
Edmond H. Fischer,1992,Switzerland,"United States, Switzerland",Physiology or Medicine,Man,NA,Europe,CHE,1990
Edmund S. Phelps,2006,United States,United States,Economics,Man,NA,Americas,USA,2000
Eduard Buchner,1907,Germany,Germany,Chemistry,Man,NA,Europe,DEU,1900
Edvard Moser,2014,Norway,Norway,Physiology or Medicine,Man,NA,Europe,NOR,2010
Edward A. Doisy,1943,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,1940
Edward B. Lewis,1995,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,1990
Edward C. Kendall,1950,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,1950
Edward C. Prescott,2004,United States,United States,Economics,Man,NA,Americas,USA,2000
Edward Tatum,1958,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,1950
Edward Victor Appleton,1947,United Kingdom,United Kingdom,Physics,Man,NA,Europe,GBR,1940
Edwin G. Krebs,1992,United States,United States,Physiology or Medicine,Man,NA,Americas,USA,1990
Edwin M. McMillan,1951,United States,United States,Chemistry,Man,NA,Americas,USA,1950
Ei-ichi Negishi,2010,Japan,Japan,Chemistry,Man, Born in China,Asia,JPN,2010
Ei-ichi Negishi,2010,United States,"Japan, United States",Chemistry,Man, Japanese citizenship,Americas,USA,2010
Eisaku Satō,1974,Japan,Japan,Peace,Man,NA,Asia,JPN,1970
Elfriede Jelinek,2004,Austria,Austria,Literature,Woman,NA,Europe,AUT,2000
Elias Canetti,1981,Bulgaria,Bulgaria,Literature,Man,NA,Europe,BGR,1980
Elias Canetti,1981,United Kingdom,"Bulgaria, United Kingdom",Literature,Man, born in Bulgaria,Europe,GBR,1980
Elias James Corey,1990,United States,United States,Chemistry,Man,NA,Americas,USA,1990
Élie Ducommun,1902,Switzerland,Switzerland,Peace,Man,NA,Europe,CHE,1900
Élie Metchnikoff,1908,Russia and Soviet Union,Russia and Soviet Union,Physiology or Medicine,Man, born in now Ukraine,Europe,RUS,1900
Elie Wiesel,1986,Romania,Romania,Peace,Man,NA,Europe,ROU,1980
Elie Wiesel,1986,United States,"Romania, United States",Peace,Man, born in Romania,Americas,USA,1980
Elihu Root,1912,United States,United States,Peace,Man,NA,Americas,USA,1910
Elinor Ostrom,2009,United States,United States,Economics,Woman,NA,Americas,USA,2000
Elizabeth Blackburn,2009,Australia,Australia,Physiology or Medicine,Woman,"Born in Australia, worked in the US",Oceania,AUS,2000
Elizabeth Blackburn,2009,United States,"Australia, United States",Physiology or Medicine,Woman,"Born in Australia, worked in the US",Americas,USA,2000
